S/NO.,gage_id,gage_desc,gage_brand,gage_rance,gage_slno,gage_calib_metho,tolerance,calib_date,calib_interval,calb_interval_unit,calib_due_date,clib_agency,calib_cert_no,gage_location,remarks,comments,master_gage_slno,master_gage_cert_no,master_gage_valid_date,temp1,temp2
,,,,,,,,,,,,,,,,,,,,,
1,A-012,CHART RECORDER,BARTON,"0 - 5,000 PSI",120126528003,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2 F.S,2022-06-06,1,Years,2023-06-06,TRESCAL,SALPR/0409/4/22,TEST BUNKER AREA 3 L2,TRUE,,3534923,SALPR/0113/6/22,08.02.2023,2022-11-15,2023-05-23
2,A-014,CHART RECORDER,BARTON,"0 - 20,000 PSI",120126535003,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2 F.S,2022-06-06,1,Years,2023-06-06,TRESCAL,SALPR/0409/3/22,TEST BUNKER AREA 3 L2,TRUE,,211H19490008,SALPR/0904/2/21,07.10.2022,2022-11-15,2023-05-23
3,A-015,CHART RECORDER,BARTON,"0 - 30,000 PSI",120126536001,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2 F.S,2022-03-29,1,Years,2023-03-29,TRESCAL,SALPR/0223/7/22,Assy Shop,TRUE,,211H19490005,SALPR/0904/3/21,07.10.2022,2022-11-15,2023-03-15
4,A-016,TORQUE WRENCH,NORBAR,60 - 300 NM,2015/133561,MDCP-31:2020,± 4 %,2022-01-03,1,Years,2023-01-03,Ming Deng,MDL214086-1,TEST BUNKER AREA 3 L3,TRUE,,,,,2022-11-15,2022-12-20
5,A-022,TORQUE WRENCH,NORBAR,20 - 100 NM,2012/263638,BS EN ISO 6789-1:2017,± 4 %,2021-09-29,1,Years,2022-09-29,NORBAR,38346S,TEST BUNKER AREA 3 L3,FALSE,,,,,2022-11-15,2022-09-15
6,A-030,A & D WEIGHING BALANCE - 60 KG,AND (EM-60KAM),0 - 60 KG,5121100006,MDCP-31:2020,MANUNFACTURER SPECIFICATION,2021-12-23,1,Years,2022-12-23,Ming Deng,MDL214088-1,Assy Shop Paint Booth,TRUE,,,,,2022-11-15,2022-12-09
7,A-031,ELCOMETER E-124 THICKNESS GAUGE,ELCOMETER,0 - 5 MM,NL 10237,QCD/TRSG/SEAM 0005/ IN TRSG/QM/001/20,± 3% OF READING,2021-07-15,2,Years,2023-07-15,TRESCAL,SALDM/1087/6/22,PAINTING BOOTH ASSY 3 CABINET L4,TRUE,,18641 (M112),SALDM/1010/1/21,06.08.2023,2022-11-15,2023-07-01
8,A-035,CHART RECORDER,BARTON,"0 - 30,000 PSI",120162019003,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2 F.S,2022-03-29,1,Years,2023-03-29,TRESCAL,SALPR/0223/8/22,Assy Shop,TRUE,,211H19490005,SALPR/0904/3/21,07.10.2022,2022-11-15,2023-03-15
9,A-036,"Chart Recorder : 0 - 30,000 PSI",,#N/A,120162019002,,,2019-07-27,1,Years,2020-07-26,,,TEST BUNKER AREA CABINET 4 L2,HOLD,,,,,2022-11-15,2020-07-12
10,A-037,"Chart Recorder : 0 -1,000 PSI",,#N/A,120162010001,,,2019-03-14,1,Years,2020-03-13,,,TEST BUNKER AREA CABINET 4 L2,HOLD,,,,,2022-11-15,2020-02-28
11,A-038,CHART RECORDER,BARTON,"0 - 1,000 PSI",120162010002,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2 F.S,2022-06-06,1,Years,2023-06-06,TRESCAL,SALPR/0409/2/22,TEST BUNKER AREA 3 L2,TRUE,,211H20640027,SALPR/0113/15/22,08.02.2023,2022-11-15,2023-05-23
12,A-041,CHART RECORDER,BARTON,"0 - 30,000 PSI",120162019004,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2 F.S,2022-06-06,1,Years,2023-06-06,TRESCAL,SALPR/0409/5/22,TEST BUNKER AREA 2,TRUE,,211H19490005,SALPR/0904/3/21,07.10.2022,2022-11-15,2023-05-23
13,A-042,"Chart Recorder : 0 -1,000 PSI",,#N/A,120162010004,,,2017-01-25,1,Years,2018-01-25,,,Assy Shop,HOLD,,,,,2022-11-15,2018-01-11
